zone,groupe,roche,AlphaZone,AlphaGroupe,AlphaRoche,AlphaDescriptRoche,AlphaLabel,nature,type,longueur,largeur,epaisseur,orientation,nom,num Chippendale,nom Bicknell,Notes,LabelSect,X_L2e,Y_L2e,Z,Géographie,Plan,Image
4,3,1@d,IV,III,1 ?,1delta,ZIV.GIII.R 1 ?,G,PB,174,150,0,NESO,Roche anciennement 1alpha,,,,Me,1008577.361,1908866.883,2340,2,D:\Base de Donnees\Images\Images Faces\ZIV\ZIVGIII\ZIVGIIIR1@d.gif,D:\Base de Donnees\Images\Photos Roches\ZIV\ZIVGIII\ZIVGIIIR1@d\ZIVGIIIR1@d.JPG
2,2,1@b,II,II,1 ?,1beta,ZII.GII.R 1 ?,G,None,132,88,0,NESO,Roche repérée par Carlo Conti,,,,Me,1009395.088,1908040.495,2264.39,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGII\ZIIGIIR1@b.gif,D:\Base de Donnees\Images\SS_Image.bmp
10,2,16,X,II,16,16,ZX.GII.R 16,S,A,300,250,0,NESO,,,,,Me,1009062.514,1909824.176,2307.03,4,D:\Base de Donnees\Images\Images Faces\ZX\ZXGII\ZXGIIR16.gif,D:\Base de Donnees\Images\Photos Roches\ZX\ZXGII\ZXGIIR16\P7070015.JPG
10,3,4,X,III,4,4,ZX.GIII.R 4,S,A,1400,900,0,NOSE,,,,,Me,1009126.379,1909734.007,2307.84,4,D:\Base de Donnees\Images\Images Faces\ZX\ZXGIII\ZXGIIIR4-Fa.gif,D:\Base de Donnees\Images\Photos Roches\ZX\ZXGIII\ZXGIIIR4\P7150310.JPG
2,1,20@e,II,I,20 ?,20epsilon,ZII.GI.R 20 ?,G,P,0,0,0,NS,Roche à la face vitrifiée,,,,Me,1009444.739,1908192.433,2229.89,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGI\ZIIGIR20@e.gif,D:\Base de Donnees\Images\Photos Roches\ZII\ZIIGI\ZIIGIR20@e\ZII GI R20 1.jpg
2,1,20@a,II,I,20 ?,20alpha,ZII.GI.R 20 ?,GS,None,180,140,0,NESO,Roche aux festons,,,,Me,1009484.702,1908220.582,2203.54,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGI\ZIIGIR20@a.gif,D:\Base de Donnees\Images\SS_Image.bmp
2,1,20@b,II,I,20 ?,20beta,ZII.GI.R 20 ?,GS,None,0,0,0,NOSE,Roche difficile à repérer,,,,Me,1009494.592,1908261.658,2190.98,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGI\ZIIGIR20@b.gif,D:\Base de Donnees\Images\SS_Image.bmp
2,1,20@d,II,I,20 ?,20delta,ZII.GI.R 20 ?,GS,P,0,0,0,NS,Roche du renfoncement de la cime des lacs,,,,Me,1009403.357,1908306.44,2202.99,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGI\ZIIGIR20@d.gif,D:\Base de Donnees\Images\SS_Image.bmp
2,2,3,II,II,3,3,ZII.GII.R 3,GS,None,160,120,0,NESO,Roche aux deux corniformes à longue cornes,,,,Me,1009356.179,1908008.965,2274.82,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGII\ZIIGIIR3.gif,D:\Base de Donnees\Images\SS_Image.bmp
2,1,20@f,II,I,20 ?,20zeta,ZII.GI.R 20 ?,GS,None,200,120,0,NOSE,Roche du haut des éboulis,,,,Me,1009438.42,1908128.742,2243.54,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGI\ZIIGIR20@f.gif,D:\Base de Donnees\Images\SS_Image.bmp
2,2,2,II,II,2,2,ZII.GII.R 2,GS,D,220,100,0,,Roche tabulaire aux nombreux trous,,,,Me,1009401.18,1908026.117,2273.67,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGII\ZIIGIIR2.gif,D:\Base de Donnees\Images\SS_Image.bmp
2,2,6@c,II,II,6 ?,6gamma,ZII.GII.R 6 ?,GS,None,0,0,0,NOSE,Roche sous un bloc de grès,,,,Me,1009142.67,1907760.055,2289.03,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGII\ZIIGIIR6@c.gif,D:\Base de Donnees\Images\SS_Image.bmp
2,3,3,II,III,3,3,ZII.GIII.R 3,GS,B,250,150,0,EO,Roche à la figure à franges et aux deux poignards,,,,Me,1009517.217,1907378.725,2304.81,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGIII\ZIIGIIIR3.gif,D:\Base de donnees\Images\Photos Roches\ZII\ZIIGIII\ZIIGIIIR3\P9050479.JPG
2,3,9,II,III,9,9,ZII.GIII.R 9,GS,D,0,0,0,EO,Roche de la fausse danseuse,,,,Me,1009633.584,1907638.362,2279.41,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGIII\ZIIGIIIR9.gif,D:\Base de Donnees\Images\SS_Image.bmp
2,3,5,II,III,5,5,ZII.GIII.R 5,GS,A,0,0,0,,Roche aux paires de poignards,,,,Me,1009631.945,1907515.218,2274.19,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGIII\ZIIGIIIR5.gif,D:\Base de donnees\Images\Photos Roches\ZII\ZIIGIII\ZIIGIIIR5\P9050466.JPG
2,3,6,II,III,6,6,ZII.GIII.R 6,GS,D,0,0,0,,Roche aux stries parallèles,,,,Me,1009556.678,1907577.066,2280,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGIII\ZIIGIIIR6.gif,D:\Base de donnees\Images\Photos Roches\ZII\ZIIGIII\ZIIGIIIR6\P9050469.JPG
2,3,6@a,II,III,6 ?,6alpha,ZII.GIII.R 6 ?,GS,None,245,235,0,NS,Roche des trois corniformes alignés avec une plage,,,,Me,1009531.708,1907556.97,2282.21,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGIII\ZIIGIIIR6@a.gif,D:\Base de donnees\Images\Photos Roches\ZII\ZIIGIII\ZIIGIIIR6@a\P9050468.JPG
2,3,6@b,II,III,6 ?,6beta,ZII.GIII.R 6 ?,G,None,0,0,0,NS,Roche des deux corniformes fusionnés,,,,Me,1009563.609,1907603.116,2280,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGIII\ZIIGIIIR6@b.gif,D:\Base de Donnees\Images\SS_Image.bmp
2,1,20,II,I,20,20,ZII.GI.R 20,GS,B,0,0,0,NS,Roche aux nombreux décrochements,,,,Me,1009481.71,1908216.569,2205.53,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGI\ZIIGIR20-fa.gif,D:\Base de Donnees\Images\SS_Image.bmp
2,3,7@a,II,III,7 ?,7alpha,ZII.GIII.R 7 ?,GS,None,60,60,0,NESO,Roche de la petite face dans le grand goulet herbe,,,,Me,1009717.817,1907591.557,2247.05,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGIII\ZIIGIIIR7@a.gif,D:\Base de Donnees\Images\SS_Image.bmp
2,3,8,II,III,8,8,ZII.GIII.R 8,GS,P,0,0,0,,Roche aux onze hallebardes,,,,Me,1009664.651,1907627.441,2262.1,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGIII\ZIIGIIIR8-Fa.gif,D:\Base de donnees\Images\Photos Roches\ZII\ZIIGIII\ZIIGIIIR8\P7160348.JPG
4,3,25@b,IV,III,25 ?,25beta,ZIV.GIII.R 25 ?,S,A,0,0,0,,,,,,Me,1008462.215,1909266.68,2458.65,2,D:\Base de Donnees\Images\Images Faces\ZIV\ZIVGIII\ZIVGIIIR25@b.gif,D:\Base de Donnees\Images\Photos Roches\ZIV\ZIVGIII\ZIVGIIIR25@b\ZIVGIIIR25@b.JPG
